smiles,QED,Rings,AromaticRings,FractionCSP3,Lipinski_pass,Ro5_viol,MW,LogP,HBD,HBA,Veber_pass,Veber_viol,RotBonds,TPSA,TL_Oral,TL_QED,TL_BBB,TL_LogP,pred_pchembl_rf,pred_pchembl_gcn,sa_score,has_route
CC[C@H]1NCCNCCNc2cccc(NC=O)c21,0.6202397142838396,2,1,0.5,True,,262.357,1.3106999999999995,4,4,True,,3,65.19,green,green,green,green,6.376280029296875,6.896814346313477,3.9191297706779205,True
CNC[CH]SCOC1=Cc2c3ccnc2[C@H]1C=CN=CCc1ccccc1S3,0.5440835807599114,4,2,0.22727272727272727,True,,408.5720000000001,4.899990000000004,1,6,True,,6,46.51,green,yellow,green,green,5.938730010032653,6.651468753814697,5.97326168138369,True
O=C1NC2=CN=CNC=CC=COCC(N=CC=CC2)C1=CC=C(O)C(F)(F)F,0.459285585306457,2,0,0.21052631578947367,True,,408.3800000000001,2.9494000000000007,3,6,True,,1,95.31,green,yellow,yellow,green,5.77036998796463,7.45699405670166,6.15861887946334,False
CCCCCNC(=O)C1=CC1=CN1CC=C2SCC3(O)C4=C(C)C=CC13N=C[SH]24,0.44763292358211887,7,0,0.45454545454545453,True,,429.61100000000016,3.3348000000000018,3,5,True,,6,64.93,green,yellow,green,green,6.126431328137715,7.956100940704346,7.139332028693726,True
C=CC=CCC,0.4475555500220085,0,0,0.3333333333333333,True,,82.146,2.1386000000000003,0,0,True,,2,0.0,green,yellow,green,green,5.404350039482117,6.104935646057129,3.1876805482861617,False
C=CC1=CC2=CC(C=CC(=O)NC=CC=CC(=O)NC=C1C=CC1C=CC1)CCC=C2COC,0.5786867080309005,3,0,0.2413793103448276,True,,456.5860000000003,4.8963000000000045,2,3,True,,5,67.43,green,yellow,green,green,6.332593333721161,7.728705406188965,6.3106529353337,False
CNC(=O)C=CC=CC=C1COc2cc([nH]n2)C(F)=CNC(=O)N1,0.49072876579857,2,1,0.13333333333333333,True,,333.323,1.1114999999999997,4,4,True,,3,108.13999999999999,green,yellow,yellow,green,6.181153338511785,7.344554901123047,5.34766077963434,True
CC=CC=COC(=O)C1=CC=CC1,0.37494551993675823,1,0,0.18181818181818182,True,,176.215,2.505700000000001,0,2,True,,3,26.3,green,yellow,green,green,5.540820002714792,6.915302276611328,3.6634143861834616,True
CSCC=CC=CNN=CC(C)C=O,0.3028346089283581,0,0,0.4,True,,212.31799999999998,1.8296999999999999,1,4,True,,7,41.46,green,yellow,green,green,5.759750013589859,6.5150628089904785,4.830872414007947,True
Cc1ccccc1CCOC=CC1=CC1C=O,0.42494697996529757,2,1,0.26666666666666666,True,,228.29100000000003,2.8229200000000008,0,2,True,,6,26.3,green,yellow,green,green,5.5104600315094,6.844991207122803,3.5597263246594437,False
CC=C1C=C(Nc2nccc(C(F)(F)F)c2-c2ccccc2Cl)C=C1C,0.6504270464971769,3,2,0.15,True,LogP>5,376.8090000000001,6.622800000000004,1,2,True,,3,24.92,green,green,green,red,6.3111200184822085,7.646279335021973,3.1159564125405836,True
C=CC1=C2CCC(F)(Br)C3(Cl)C(=O)CC=CC(=C1OC3=O)C(C)(C)C2,0.3324354822597629,3,0,0.47368421052631576,True,LogP>5,429.7130000000003,5.057300000000003,0,3,True,,1,43.370000000000005,green,yellow,green,yellow,4.997929999351501,7.325760841369629,6.332567834918544,False
C1=CC=NCOC=C1,0.4563681317400106,1,0,0.16666666666666666,True,,109.12799999999997,1.1148,0,2,True,,0,21.59,green,yellow,green,green,5.112190017064412,6.757664203643799,4.382385253391844,False
CC=CC(C(=O)NC=O)C(=O)Nc1ccc(F)cc1,0.4768974271167301,1,1,0.15384615384615385,True,,264.256,1.2290999999999996,2,3,True,,5,75.27,green,yellow,green,green,6.201073320865631,6.708725452423096,3.169634854680563,True
CC(C)(O)NCc1ccccc1Cl,0.7317498711616346,1,1,0.4,True,,199.681,2.1580000000000004,2,2,True,,3,32.26,green,green,green,green,5.73519001865387,6.286521911621094,2.208303046712123,True
C=CF,0.38291489315291866,0,0,0.0,True,,46.044,1.0994,0,0,True,,0,0.0,green,yellow,green,green,4.91164502453804,4.847597122192383,3.7899031924811366,False
CN=CC=C1NC2=CCC3=CNC=NC(=C1NC3)C(=O)CCNc1ccccc1C=C2C,0.5158146341103853,4,1,0.24,True,,428.54000000000025,3.2529000000000012,4,7,True,,1,89.91,green,yellow,green,green,6.693380040168762,8.017898559570312,5.6725870841862704,True
CC1C=CCCN(C=CC=CCC(F)F)C(=O)N=CC=CC1CF,0.5151331802376451,1,0,0.4444444444444444,True,,340.389,4.942200000000005,0,1,True,,5,32.67,green,yellow,green,green,6.009380025704702,7.365356922149658,5.301778163304226,True
CC=CC=C(C=O)NN=C1CC=C(Cl)C(=O)C(C)=CN2N=CCC12,0.36736439351073896,2,0,0.29411764705882354,True,,346.81800000000004,2.6503000000000005,1,6,True,,4,74.13,green,yellow,green,green,5.604170014381409,7.908841609954834,5.319953526770182,False
CC=CC1N=C=CN=C1C=CNC1=CCN(C)CCC2=CC(=C1N)NC1=CC=CCC1CC=CCC(=O)C2,0.48909276485291836,4,0,0.3548387096774194,True,MW>500,510.6860000000004,4.347300000000003,3,7,True,,4,95.11000000000001,green,yellow,yellow,green,5.764340029239655,7.828281402587891,6.764893421505388,True
[CH]NCC(O)(C=CNC1=CC=CC(=O)NCC2=CC=CC2=CNN=C1)C(C)(C)Cl,0.33529499484688396,2,0,0.2857142857142857,True,,415.92500000000007,1.6217900000000003,5,6,True,,6,97.78,green,yellow,yellow,green,5.637780006885529,7.869335174560547,5.675696704385584,True
CC1C=CC=C(N)C(Nc2cccc3c2C=CN2C(=O)C4=C3C2C=CCC2CC=C(C2)N4)=CCNC=NCN1,0.3802281547932028,6,1,0.2903225806451613,True,MW>500,521.6690000000003,3.6979000000000015,5,7,True,,2,106.81,green,yellow,yellow,green,5.991560024261474,8.432178497314453,7.191575254694111,False
CC(=O)N=O,0.3869365250011595,0,0,0.5,True,,73.051,0.2993,0,2,True,,0,46.5,green,yellow,green,green,5.512249998092651,5.642514705657959,2.7609822284422094,True
CC=NNNC(=O)c1cccc(F)c1,0.5594839152169396,1,1,0.1111111111111111,True,,195.19699999999997,1.0657999999999999,2,3,True,,3,53.49,green,yellow,green,green,6.441856653054556,7.031257629394531,2.59993857385782,True
FCN(F)C1CC=C2CCCC=C3CC3C2Nc2cc(ncncncn2)C=CC=N1,0.43558140705888926,4,1,0.4090909090909091,True,,425.487,4.155400000000003,1,7,True,,2,79.19,green,yellow,green,green,6.069336667060852,6.821063995361328,6.485507603791417,True
CCNC(=O)N1C=CC=C(F)CN([O-])C(CC#CN)=CN(C)O1,0.5836244928208127,1,0,0.35714285714285715,True,,324.336,1.1279000000000001,2,6,True,,2,97.13,green,yellow,yellow,green,6.0614416559537245,6.421464920043945,5.146728558178907,True
[NH]C1=CC=CC(F)=C2C=CC3CCCON3c3cc4cc2c3n4C1,0.7363093021199838,5,2,0.2631578947368421,True,,322.36300000000006,3.9665000000000026,0,3,True,,0,41.2,green,green,green,green,6.130413332939148,8.515697479248047,6.354498039766528,False
COc1cccc2c1Nc1cccc(c1)C(O)[CH][SH]2c1c(F)cccc1F,0.5205798695092305,4,3,0.09523809523809523,True,LogP>5,386.44300000000004,5.344990000000004,3,3,True,,2,41.489999999999995,green,yellow,green,yellow,6.670018327236176,6.813148021697998,5.42385812175129,False
CC12NC=CC=C(Cl)C=CC=CC(=O)C(=NO1)C1CNC(OC=CC=CCc3ccncn3)C12,0.49363168564872123,4,1,0.28,True,,479.9680000000002,3.2908000000000017,2,8,True,,5,97.73,green,yellow,yellow,green,5.903380013306935,7.103784561157227,6.574951780776115,False
CC=CC=CC1N=Cc2ccccc2C2=CCNN=CCC(F)=CC2=CNC(=O)NC=C2COCCN21,0.530294068323696,4,1,0.25,True,MW>500,502.59400000000034,4.150100000000003,3,6,True,,2,90.35,green,yellow,yellow,green,6.002346698443095,7.820132255554199,5.399945394150722,False
C=CC1N=CC=C(C(=O)NCC2C=C(Oc3ccccc3F)C=CC2)c2ccccc2N1,0.6441037579000813,4,2,0.15384615384615385,True,,429.4950000000001,4.872700000000004,2,4,True,,6,62.72,green,green,green,green,6.258380014260609,7.332026481628418,4.23309191642465,True
O=C1C=CC=CC=C(Oc2ccc(F)cc2)COC=CC=C1,0.8311599611193435,2,1,0.05555555555555555,True,,298.313,3.8700000000000028,0,3,True,,2,35.53,green,green,green,green,5.364460016727447,6.7340521812438965,3.5102862838753452,False
C=C(C=CN)CON=NC1=CC=CC=C(C)CN1,0.44408436196788165,1,0,0.23076923076923078,True,,246.31400000000002,2.3459000000000003,2,5,True,,5,72.0,green,yellow,green,green,5.392754040145873,7.734722137451172,4.574524928254358,True
C=COC(C)(C)NC=CC=CNC(=O)CC=CC1=CC(F)=CC(=CC)C=C1,0.3462199677904094,1,0,0.22727272727272727,True,,370.4680000000001,4.858000000000004,2,3,True,,9,50.36,green,yellow,green,green,6.265979998111725,7.377410888671875,4.4862693464534065,True
CN1CC2=CC3C=CC=CNC(Br)=CC=CC(O)(C(=CNCC=COC2)S3)C1(C)N,0.3053011467537943,3,0,0.36363636363636365,True,,493.47100000000023,2.8065000000000007,4,7,True,,0,82.78,green,yellow,green,green,5.388750000476837,6.730684757232666,7.175703703988673,True
CC=CC1=CC(C)OC=C1F,0.5638772023066712,1,0,0.3333333333333333,True,,154.18399999999997,2.7185000000000015,0,1,True,,1,9.23,green,yellow,green,green,5.130900014400482,7.435331344604492,4.540041868755051,False
OI,0.4852908987545849,0,0,0.0,True,,143.911,0.32870000000000005,1,1,True,,0,20.23,green,yellow,green,green,5.22836402867635,0.8991572856903076,4.520106380487853,False
O=C1[CH]CCC=CN1,0.48614083782630374,1,0,0.3333333333333333,True,,110.136,0.61439,1,1,True,,0,29.1,green,yellow,green,green,5.017660015106201,6.905198097229004,4.080412678141007,False
CCNC(=O)NC1=CC2=CC3(C(C)NF)C=C3C=CN=CN=CCNC[CH]CCCCCC21,0.4847747711553293,3,0,0.52,True,,455.6020000000003,3.9053900000000024,4,5,True,,4,89.91000000000001,green,yellow,green,green,6.476329122304916,7.767350196838379,5.892273335079273,True
O=C(NCC1=CC(=CC=CF)NC=C1)c1ccccc1,0.8829822858907719,2,1,0.0625,True,,270.307,2.8268000000000013,2,2,True,,4,41.13,green,green,green,green,6.421090006351471,7.03603982925415,3.1313173869033744,True
CNC(=O)NC=CCC(=O)Nc1ccc(F)cc1C1=CC=CC[SH]1S,0.40099135306004524,2,1,0.17647058823529413,True,,381.49800000000005,3.3537000000000017,5,3,True,,5,70.23,green,yellow,green,green,7.161241656621297,7.091498851776123,4.3510499114916055,True
C=CC=CC=CNC(=O)c1[nH]cc2c1C=CCC2,0.7807433961993918,2,1,0.13333333333333333,True,,240.30599999999998,2.9598000000000013,2,1,True,,4,44.89,green,green,green,green,5.855370002746582,7.210163593292236,3.8093370236250506,True
CC=CC=CN1CC2(CC)CC2C(N)=CC=CC=CNC(=O)NC=CNCCC=CC=CC1=O,0.47344694904911916,2,0,0.3333333333333333,True,,463.6260000000002,4.109700000000002,4,4,True,,3,99.49000000000001,green,yellow,yellow,green,5.303640036582947,7.586267948150635,5.5885066143657935,True
CC=CC#COC(=O)Nc1ccnc(F)c1F,0.6035270267633207,1,1,0.09090909090909091,True,,238.19299999999998,2.4453000000000005,1,3,True,,1,51.22,green,green,green,green,6.051214997847874,5.319790840148926,3.584419445997675,True
CC=CC=CC(C)COc1ccccc1,0.6591866582737202,1,1,0.2857142857142857,True,,202.29700000000003,3.8338000000000028,0,1,True,,5,9.23,green,green,green,green,5.398145017623901,6.001919746398926,2.7990533632474257,False
C=NC=C1CNCC1CCONC1=NC=COCC=CC=CCN=CNCC=CC=CC1,0.34880641983405525,2,0,0.375,True,,438.57600000000014,2.8343000000000016,3,8,True,,5,91.63000000000001,green,yellow,yellow,green,6.021112000465393,7.1338372230529785,5.713762378161779,True
CC(F)=CC=C1C(=O)NC2C=CC=CCCNC(=O)C1=CCNC=C2,0.6375013239863871,2,0,0.2631578947368421,True,,343.4020000000001,1.9465,3,3,True,,1,70.23,green,green,green,green,5.371349990844727,7.6525750160217285,5.82506470578538,False
OC1=CC=CC=CC2=CSC=C=NC2=C1,0.6723859778964293,2,0,0.0,True,,215.277,3.2523000000000017,1,3,True,,0,32.59,green,green,green,green,5.393268026161194,6.72574520111084,5.305302273639359,False
C=CC=CCOC1=CCCNC(=O)c2cnccc2C2=C(C2=CC(C)(C)C)C(F)(Br)N1,0.34921639933631893,3,1,0.3333333333333333,True,LogP>5,488.4010000000002,5.162800000000004,2,4,True,,4,63.25,green,yellow,green,yellow,6.10170001300176,7.325307369232178,4.9896622604679495,False
CN1CCC(=O)CCCNCOC=CC2C=CC3CCCCN3C(O)=CC1(N)O2,0.5214619174235401,3,0,0.6666666666666666,True,,406.52700000000027,1.5700000000000007,3,8,True,,0,100.29,green,yellow,yellow,green,5.515259998321533,6.957584381103516,6.062585213566767,True
CN[C@H](O)C=CC=C(NC(=O)Nc1ccc(F)cc1F)c1cnccc1C,0.46261404635170594,2,2,0.15789473684210525,True,,374.3910000000001,2.9248200000000013,4,4,True,,6,86.28,green,yellow,green,green,7.010351654450098,7.174347877502441,3.53369180198815,True
C[SH]1C=NC=NCC(=O)NC=CC=CC(C(C)(F)F)OC=CC=CC=CN1,0.5946472163248728,1,0,0.2777777777777778,True,,398.4790000000001,3.002300000000001,3,5,True,,1,75.08,green,yellow,green,green,5.57857000875473,7.021164894104004,5.894827288280151,False
CN1CC(C)(C)C=NN=CC2OC3=CC=NC(=N)N=CC(C)(C)CN2C=C3c2ccccc21,0.6484095422400918,5,1,0.4,True,,445.57100000000025,4.2184700000000035,1,6,True,,0,89.0,green,green,green,green,6.331870010852814,8.321361541748047,6.277558508377032,True
C1=CC=Cn2cccc2CCCC=C1,0.5834355134668863,2,1,0.23076923076923078,True,,185.26999999999995,3.4075000000000024,0,1,True,,0,4.93,green,yellow,green,green,5.180860024452209,6.5439043045043945,3.7927243159521558,False
C1=CC23N=CCC2=C2c4ccccc4N=CNC2C1N=CN3,0.7156084690908218,5,1,0.23529411764705882,True,,289.342,1.8124999999999996,2,5,True,,0,61.14,green,green,green,green,5.441050023078918,8.390217781066895,6.398313048507721,False
CC(C)(C)C1=CC2OCC=CC=C(F)C2c2ccncc2C2C=CC2COC=NC=CNC=C1,0.49269677660584327,4,1,0.35714285714285715,True,LogP>5,461.58100000000013,5.848700000000006,1,5,True,,0,55.74,green,yellow,green,yellow,6.060190016110738,7.8167805671691895,5.755275440931651,False
CCSC=NCC(N)=O,0.4564140620148312,0,0,0.6,True,,146.21499999999997,0.2531,1,3,True,,4,55.449999999999996,green,yellow,green,green,5.408766658782959,5.822601318359375,4.124074161071711,True
C1=CCCC(C=C2COC=CC=N2)=NNC=C1,0.7494925767780645,2,0,0.23076923076923078,True,,229.28300000000004,2.2943000000000007,1,4,True,,1,45.980000000000004,green,green,green,green,5.6330100107193,7.746291637420654,4.900509019275752,False
CNC1=CCOC=CC=N1,0.5771924731748673,1,0,0.2857142857142857,True,,138.17,0.6618999999999999,1,3,True,,1,33.62,green,yellow,green,green,5.490420011520386,7.265564918518066,4.332018968797529,True
CC=NCCN1N=CNC1N(C)C(=O)N=C(N=NCC(=O)NC)C1=CC(F)(F)C=C1,0.35963644707706494,2,0,0.47058823529411764,True,,423.42800000000017,0.9891999999999996,2,7,True,,7,126.47999999999999,green,yellow,yellow,green,6.363159984111786,7.834903717041016,5.388756158337808,True
Cc1cccc(C(C=O)=CC=Cc2cc(F)ccc2C)c1,0.4489896562714596,2,2,0.10526315789473684,True,,280.34200000000004,4.738240000000004,0,1,True,,4,17.07,green,yellow,green,green,6.577210000991821,7.228899002075195,2.540417805569067,False
C=CC=C1C=NSCc2cc(F)ccc2NC(=O)C=CC=CNC(=O)C(=CC=CC)C=C1Cl,0.40485485469228877,2,1,0.08,True,LogP>5,483.9960000000002,5.920500000000004,2,4,True,,2,70.56,green,yellow,green,yellow,6.385731353378296,7.310125350952148,4.580505406640059,False
CCOC(=O)C1=NC(c2ccc(F)cc2)N=CC=CC1=CCC=COCN,0.45287384520069185,2,1,0.25,True,,371.4120000000002,3.232000000000001,1,6,True,,7,86.27,green,yellow,green,green,5.769823314666748,7.115289688110352,4.0421778839062315,True
CCSC=C1C=NC2C=C(N)C=CC(=CNN=CC2)CNC1C(C)=O,0.7155808590810716,2,0,0.3888888888888889,True,,359.49900000000014,1.8853999999999997,3,7,True,,3,91.87,green,green,yellow,green,6.075228332996368,7.563100814819336,6.68243570153095,False
O=NCNO,0.35000660436883096,0,0,1.0,True,,76.05499999999999,-0.3108999999999999,2,4,True,,2,61.69,green,yellow,green,green,5.279770024299622,5.209325790405273,4.566137258028007,True
CC1C=NC2=C1C1(N)C=CC=CC1C(Oc1ccc(O)c3c(C(N)F)ncnc13)=CC=C2,0.6400077794053498,5,2,0.20833333333333334,True,,431.4710000000001,3.5090000000000012,3,7,True,,3,119.64,green,green,yellow,green,5.9756400297482815,7.826314926147461,5.249936270800331,True
C=CC1c2cc(F)ccc2C=C(C)C2=NCCC3=CC(C)=CC3C(C)=C(CN1CCOC)O2,0.5288914491713758,4,1,0.39285714285714285,True,LogP>5,448.5820000000003,6.013400000000007,0,4,True,,4,34.06,green,yellow,green,red,6.1802166589101155,8.017855644226074,5.785645655441903,True
CS(=O)NC=CC1=C2C=NN3CCOCC3=C(c3ccc(F)cc3F)CNN2C2CCSC2=C1,0.6561814856296146,5,1,0.34782608695652173,True,MW>500,505.61600000000016,2.868000000000001,2,7,True,,4,69.2,green,green,green,green,6.9556716793378195,7.937633514404297,5.605050641619836,True
CNC(O)=C(F)CC=CCNC1=CC=NC(NCCC(C)C)N=C1C,0.36033969890417844,1,0,0.5555555555555556,True,,351.4700000000002,2.7868000000000004,4,6,True,,10,81.03999999999999,green,yellow,green,green,5.977000016450882,7.556554794311523,4.569276046226436,True
O=C1NC=NC2C=NC3(c4ccccc4Cl)CCSC3(CN1)N[CH]C2=O,0.6765520859420009,5,1,0.35294117647058826,True,,390.87600000000015,1.4830899999999998,3,6,True,,1,94.94999999999999,green,green,yellow,green,6.240839987277985,7.157879829406738,6.757482895060628,False
CC12C=C(COCCSC=N1)NC=CC=CC=CN2C=NC(Cl)c1ccc(F)cc1,0.3079546773486447,3,1,0.2727272727272727,True,,446.9790000000001,4.972000000000005,1,5,True,,3,49.22,green,yellow,green,green,5.827619329675038,7.228960037231445,6.144254000016509,True
[CH]CC=CC=C1C(=O)[CH]C=CC(=CN=CC=O)C(c2ccccc2)N=CC=CC2=CNCCN21,0.41487494587940194,3,1,0.14285714285714285,True,,451.5500000000002,4.139380000000003,1,6,True,,5,74.13,green,yellow,green,green,5.96615001487732,7.3945441246032715,5.47556205943656,True
CC=CC=NC[C@@H]1C=CC2C(=CC=C1NCC)CC2(C)N,0.6024892493801104,2,0,0.5,True,,285.435,2.976400000000001,2,3,True,,5,50.41,green,green,green,green,5.284788338581722,7.790370941162109,5.261720687955372,True
CC(C)(C)C1=C2SCC=CC=CC=CNNC2=C1,0.6949623695028204,2,0,0.3333333333333333,True,,260.40600000000006,3.651200000000002,2,3,True,,0,24.06,green,green,green,green,5.116840023994445,8.149188041687012,4.467774605508559,False
CC=NCC=CC=C(F)C1C=CC=CCC2=C3CN(C(=O)N1)C(CN3)NC=CC=NC2,0.47954596107526193,4,0,0.34782608695652173,True,,424.5240000000001,2.754100000000001,3,5,True,,4,81.12,green,yellow,green,green,6.663973320960999,7.798447132110596,6.98167005629116,True
O=C1C=CCC2C3=Nc4ccc(F)c3c4NCC=CC=COCNCNC2C=CC=C(Cl)C(=CF)N1,0.4125402179358516,4,1,0.23076923076923078,True,MW>500,513.9760000000001,4.416800000000002,4,6,True,,0,86.78,green,yellow,green,green,5.997804006195068,7.708573341369629,6.615955917773368,False
COC=CC=CNc1cc(-c2ccc(F)c3c2CC=CC(F)=CC=C3Cl)ccn1,0.4481233764795793,3,2,0.08695652173913043,True,LogP>5,412.867,6.518800000000004,1,3,True,,5,34.15,green,yellow,green,red,6.385311654488246,7.399310111999512,4.076015073070797,True
CC(Cl)=CC=CSC(=O)C1(F)CCC=CC=Cc2cc(F)cc(c2)N1C,0.44809601258869136,2,1,0.25,True,LogP>5,395.90200000000004,6.207000000000003,0,3,True,,3,20.310000000000002,green,yellow,green,red,6.057746646404266,6.924234390258789,5.73172275322191,True
C=CC(F)=CC=CNC12N=CSC13C(F)=CC=CC=CC23,0.7953796125559126,3,0,0.1875,True,,304.36499999999995,3.948500000000003,1,3,True,,4,24.39,green,green,green,green,5.424490010261535,7.4083662033081055,6.26023821780563,True
CNCC=NC=NC1(c2cccc(C3CC=Cc4cc(N)c3o4)c2)CC1,0.6169468139653559,4,2,0.3333333333333333,True,,348.45000000000016,3.718200000000002,2,4,True,,6,75.91,green,green,green,green,6.320953982448577,7.317375183105469,5.420325682302551,True
CC=CC1=C2CC=CC=CC2=CC=CCNCC=C(C=CN2CCC2=O)N=CC=CC=C1,0.625907086685062,3,0,0.21428571428571427,True,LogP>5,425.57600000000014,5.274100000000005,1,3,True,,3,44.7,green,green,green,yellow,5.800260006904602,7.758709907531738,4.805805729845574,True
CONC(=O)C1C=CC(C(C)(C)C)=CC(Cc2cncnc2C=COC=O)=NC1,0.42988582755017163,2,1,0.38095238095238093,True,,398.4630000000001,2.4399000000000006,1,7,True,,7,102.77,green,yellow,yellow,green,5.7530183309714005,7.107660293579102,4.643832949705541,True
CC(C)(F)c1nccc2c1C=C(C=CC=CF)C=NN=C[C@H](O)c1ccccc1C=CNN=C2,0.6001157418544358,3,2,0.15384615384615385,True,LogP>5,461.5160000000001,5.407000000000007,2,6,True,,3,82.23,green,green,green,yellow,5.9690050146579745,7.412721157073975,5.230268756862844,False
CC(F)=CC1=C2C(C(F)=CC=CC=O)=C2C2([O-])C=NN1C=CC=CC2C,0.4422061064450064,3,0,0.2,True,,355.36400000000003,3.1526000000000014,0,4,True,,4,55.73,green,yellow,green,green,5.765490008354187,8.27081298828125,6.65606065037593,False
COC=CC=C1C=C(C=CC=C2C=NC=CN2C[NH])C(=CC=CC2C=C[SH]=NCN2)C2=CN=NN=CN=C2NC1,0.32570433737072874,4,0,0.17857142857142858,True,MW>500,555.692,3.7562000000000015,3,10,True,,7,134.48999999999998,green,yellow,yellow,green,6.354433333714804,8.074686050415039,6.28290070478392,True
CCC(=NC=CC=C1C2=CC=CN=CSC3N=CC=[SH]213)C(C)(C)C,0.3206741376030375,3,0,0.3684210526315789,True,LogP>5,359.5640000000001,5.174500000000005,1,4,True,,3,37.08,green,yellow,green,yellow,5.6327166802088415,7.917919635772705,6.69052255973452,True
OC1=CC=CC=CCc2ccccc2CCNC(OC(F)c2ccc(F)cc2)C=CC=CC1,0.5560236157048878,3,2,0.21428571428571427,True,LogP>5,449.5410000000001,6.581700000000005,2,3,True,,3,41.489999999999995,green,yellow,green,red,5.700990027904511,6.498262405395508,4.58301825746778,False
CC=CC=C1CC2=C1CC1=C(NC=NC=C2)N(C(=O)NCC=CC=COCC)C=CC1C(C)(C)C,0.35350489351270714,3,0,0.3793103448275862,True,LogP>5,474.6490000000003,6.243700000000007,2,4,True,,6,65.96000000000001,green,yellow,green,red,6.3404650084972385,8.326699256896973,5.47019572910357,True
CC(C)C=NN(C)OCC=CCc1c2cc(O)cc1NC=N2,0.4611938694227979,2,1,0.375,True,,302.378,3.0814000000000012,2,6,True,,7,69.45,green,yellow,green,green,7.570333397674561,7.579841613769531,4.773006632952443,True
CC(C)(C)C(C=CC=CNC(=O)NC1=CC=CC1)=CCl,0.7423798077107395,1,0,0.3125,True,,292.80999999999995,4.368100000000003,2,1,True,,4,41.13,green,green,green,green,5.842759997844696,7.881568908691406,3.9772041869998294,True
COC(=O)NC1=CC=C2NC=CC=CC(=N)N2C=CC=C2CC(=O)N2CC=CC=CC=C1,0.5535077740747909,3,0,0.125,True,,431.4960000000002,3.3321700000000023,3,5,True,,1,97.76,green,yellow,yellow,green,5.93027400077184,8.083285331726074,4.67278588354941,True
Cc1cc(Cl)ccc1Cl,0.5470499369527473,1,1,0.14285714285714285,True,,161.031,3.301820000000001,0,0,True,,0,0.0,green,yellow,green,green,5.984349976857504,7.505993843078613,1.43194916107171,False
Cc1ccccc1F,0.47960175362316443,1,1,0.14285714285714285,True,,110.131,2.1341200000000002,0,0,True,,0,0.0,green,yellow,green,green,5.374760036468506,6.414709091186523,1.192665672972261,False
CC1=CC=CSC(NC(=O)Nc2cccc(O)c2)=CC2CNNC=C2C=CN1,0.4586087013222157,3,1,0.15,True,HBD>5,397.5040000000001,3.2306,6,6,True,,2,97.45,green,yellow,yellow,green,6.278100005149842,7.319477558135986,4.8196598403475335,True
